user_id,device_id,cluster_id,last_seen_ts
U0,DEV0,C0,2026-07-21T00:00:00+00:00
U1,DEV1,C1,2026-07-21T00:00:00+00:00
U2,DEV2,C2,2026-07-21T00:00:00+00:00
U3,DEV3,C3,2026-07-21T00:00:00+00:00
U4,DEV4,C4,2026-07-21T00:00:00+00:00
U5,DEV5,C5,2026-07-21T00:00:00+00:00
U6,DEV6,C6,2026-07-21T00:00:00+00:00
U7,DEV7,C7,2026-07-21T00:00:00+00:00
U8,DEV8,C8,2026-07-21T00:00:00+00:00
U9,DEV9,C9,2026-07-21T00:00:00+00:00
U10,DEV10,C10,2026-07-21T00:00:00+00:00
U11,DEV11,C11,2026-07-21T00:00:00+00:00
U12,DEV12,C12,2026-07-21T00:00:00+00:00
U13,DEV13,C13,2026-07-21T00:00:00+00:00
U14,DEV14,C14,2026-07-21T00:00:00+00:00
U15,DEV15,C15,2026-07-21T00:00:00+00:00
U16,DEV16,C16,2026-07-21T00:00:00+00:00
U17,DEV17,C17,2026-07-21T00:00:00+00:00
U18,DEV18,C18,2026-07-21T00:00:00+00:00
U19,DEV19,C19,2026-07-21T00:00:00+00:00
UA0,DEVA0,CA0,2026-07-23T00:00:00+00:00
UA1,DEVA1,CA1,2026-07-23T00:00:00+00:00
UA2,DEVA2,CA2,2026-07-23T00:00:00+00:00
UA3,DEVA3,CA3,2026-07-23T00:00:00+00:00
UA4,DEVA4,CA4,2026-07-23T00:00:00+00:00
UA5,DEVA5,CA5,2026-07-23T00:00:00+00:00
UA6,DEVA6,CA6,2026-07-23T00:00:00+00:00
UA7,DEVA7,CA7,2026-07-23T00:00:00+00:00
UA8,DEVA8,CA8,2026-07-23T00:00:00+00:00
UA9,DEVA9,CA9,2026-07-23T00:00:00+00:00
UA10,DEVA10,CA10,2026-07-23T00:00:00+00:00
UA11,DEVA11,CA11,2026-07-23T00:00:00+00:00
UA12,DEVA12,CA12,2026-07-23T00:00:00+00:00
UA13,DEVA13,CA13,2026-07-23T00:00:00+00:00
UA14,DEVA14,CA14,2026-07-23T00:00:00+00:00
UF0,DEVF0,CFARM,2026-07-25T00:00:00+00:00
UF1,DEVF1,CFARM,2026-07-25T00:00:00+00:00
UF2,DEVF0,CFARM,2026-07-25T00:00:00+00:00
UF3,DEVF1,CFARM,2026-07-25T00:00:00+00:00
UF4,DEVF0,CFARM,2026-07-25T00:00:00+00:00
UF5,DEVF1,CFARM,2026-07-25T00:00:00+00:00
UF6,DEVF0,CFARM,2026-07-25T00:00:00+00:00
UF7,DEVF1,CFARM,2026-07-25T00:00:00+00:00
UF8,DEVF0,CFARM,2026-07-25T00:00:00+00:00
UF9,DEVF1,CFARM,2026-07-25T00:00:00+00:00
UF10,DEVF0,CFARM,2026-07-25T00:00:00+00:00
UF11,DEVF1,CFARM,2026-07-25T00:00:00+00:00
UP0,DEVP0,CPROXY,2026-07-24T00:00:00+00:00
UP1,DEVP1,CPROXY,2026-07-24T00:00:00+00:00
UP2,DEVP2,CPROXY,2026-07-24T00:00:00+00:00
UP3,DEVP0,CPROXY,2026-07-24T00:00:00+00:00
UP4,DEVP1,CPROXY,2026-07-24T00:00:00+00:00
UP5,DEVP2,CPROXY,2026-07-24T00:00:00+00:00
UP6,DEVP0,CPROXY,2026-07-24T00:00:00+00:00
UP7,DEVP1,CPROXY,2026-07-24T00:00:00+00:00
UP8,DEVP2,CPROXY,2026-07-24T00:00:00+00:00
UP9,DEVP0,CPROXY,2026-07-24T00:00:00+00:00
UW0,DEVW0,CW0,2026-07-22T00:00:00+00:00
UW1,DEVW1,CW1,2026-07-22T00:00:00+00:00
UW2,DEVW2,CW2,2026-07-22T00:00:00+00:00
UW3,DEVW3,CW3,2026-07-22T00:00:00+00:00
UW4,DEVW4,CW4,2026-07-22T00:00:00+00:00
UW5,DEVW5,CW5,2026-07-22T00:00:00+00:00
UW6,DEVW6,CW6,2026-07-22T00:00:00+00:00
UW7,DEVW7,CW7,2026-07-22T00:00:00+00:00
