order_id,user_id,driver_id,vendor_id,device_id,market,vertical,amount,is_refund,event_ts,status,claim_reason
H-CLEAN-0-0,U0,D0,V0,DEV0,SG,food,20,0,2026-07-01T00:00:00+00:00,delivered,
H-CLEAN-0-1,U0,D0,V0,DEV0,SG,food,20,0,2026-07-03T00:00:00+00:00,delivered,
H-CLEAN-0-2,U0,D0,V0,DEV0,SG,food,20,0,2026-07-05T00:00:00+00:00,delivered,
H-CLEAN-0-3,U0,D0,V0,DEV0,SG,food,20,0,2026-07-07T00:00:00+00:00,delivered,
H-CLEAN-0-4,U0,D0,V0,DEV0,SG,food,20,0,2026-07-09T00:00:00+00:00,delivered,
H-CLEAN-0-5,U0,D0,V0,DEV0,SG,food,20,0,2026-07-11T00:00:00+00:00,delivered,
H-CLEAN-0-6,U0,D0,V0,DEV0,SG,food,20,0,2026-07-13T00:00:00+00:00,delivered,
H-CLEAN-0-7,U0,D0,V0,DEV0,SG,food,20,0,2026-07-15T00:00:00+00:00,delivered,
H-CLEAN-0-8,U0,D0,V0,DEV0,SG,food,20,0,2026-07-17T00:00:00+00:00,delivered,
H-CLEAN-0-9,U0,D0,V0,DEV0,SG,food,20,0,2026-07-19T00:00:00+00:00,delivered,
H-CLEAN-0-10,U0,D0,V0,DEV0,SG,food,20,0,2026-07-21T00:00:00+00:00,delivered,
H-CLEAN-0-11,U0,D0,V0,DEV0,SG,food,20,1,2026-07-23T00:00:00+00:00,delivered,quality
H-CLEAN-1-0,U1,D1,V1,DEV1,SG,qcommerce,21,0,2026-07-01T01:00:00+00:00,delivered,
H-CLEAN-1-1,U1,D1,V1,DEV1,SG,qcommerce,21,0,2026-07-03T01:00:00+00:00,delivered,
H-CLEAN-1-2,U1,D1,V1,DEV1,SG,qcommerce,21,0,2026-07-05T01:00:00+00:00,delivered,
H-CLEAN-1-3,U1,D1,V1,DEV1,SG,qcommerce,21,0,2026-07-07T01:00:00+00:00,delivered,
H-CLEAN-1-4,U1,D1,V1,DEV1,SG,qcommerce,21,0,2026-07-09T01:00:00+00:00,delivered,
H-CLEAN-1-5,U1,D1,V1,DEV1,SG,qcommerce,21,0,2026-07-11T01:00:00+00:00,delivered,
H-CLEAN-1-6,U1,D1,V1,DEV1,SG,qcommerce,21,0,2026-07-13T01:00:00+00:00,delivered,
H-CLEAN-1-7,U1,D1,V1,DEV1,SG,qcommerce,21,0,2026-07-15T01:00:00+00:00,delivered,
H-CLEAN-1-8,U1,D1,V1,DEV1,SG,qcommerce,21,0,2026-07-17T01:00:00+00:00,delivered,
H-CLEAN-1-9,U1,D1,V1,DEV1,SG,qcommerce,21,0,2026-07-19T01:00:00+00:00,delivered,
H-CLEAN-1-10,U1,D1,V1,DEV1,SG,qcommerce,21,0,2026-07-21T01:00:00+00:00,delivered,
H-CLEAN-1-11,U1,D1,V1,DEV1,SG,qcommerce,21,0,2026-07-23T01:00:00+00:00,delivered,
H-CLEAN-2-0,U2,D2,V2,DEV2,SG,food,22,0,2026-07-01T02:00:00+00:00,delivered,
H-CLEAN-2-1,U2,D2,V2,DEV2,SG,food,22,0,2026-07-03T02:00:00+00:00,delivered,
H-CLEAN-2-2,U2,D2,V2,DEV2,SG,food,22,0,2026-07-05T02:00:00+00:00,delivered,
H-CLEAN-2-3,U2,D2,V2,DEV2,SG,food,22,0,2026-07-07T02:00:00+00:00,delivered,
H-CLEAN-2-4,U2,D2,V2,DEV2,SG,food,22,0,2026-07-09T02:00:00+00:00,delivered,
H-CLEAN-2-5,U2,D2,V2,DEV2,SG,food,22,0,2026-07-11T02:00:00+00:00,delivered,
H-CLEAN-2-6,U2,D2,V2,DEV2,SG,food,22,0,2026-07-13T02:00:00+00:00,delivered,
H-CLEAN-2-7,U2,D2,V2,DEV2,SG,food,22,0,2026-07-15T02:00:00+00:00,delivered,
H-CLEAN-2-8,U2,D2,V2,DEV2,SG,food,22,0,2026-07-17T02:00:00+00:00,delivered,
H-CLEAN-2-9,U2,D2,V2,DEV2,SG,food,22,0,2026-07-19T02:00:00+00:00,delivered,
H-CLEAN-2-10,U2,D2,V2,DEV2,SG,food,22,0,2026-07-21T02:00:00+00:00,delivered,
H-CLEAN-2-11,U2,D2,V2,DEV2,SG,food,22,0,2026-07-23T02:00:00+00:00,delivered,
H-CLEAN-3-0,U3,D3,V3,DEV3,SG,qcommerce,23,0,2026-07-01T03:00:00+00:00,delivered,
H-CLEAN-3-1,U3,D3,V3,DEV3,SG,qcommerce,23,0,2026-07-03T03:00:00+00:00,delivered,
H-CLEAN-3-2,U3,D3,V3,DEV3,SG,qcommerce,23,0,2026-07-05T03:00:00+00:00,delivered,
H-CLEAN-3-3,U3,D3,V3,DEV3,SG,qcommerce,23,0,2026-07-07T03:00:00+00:00,delivered,
H-CLEAN-3-4,U3,D3,V3,DEV3,SG,qcommerce,23,0,2026-07-09T03:00:00+00:00,delivered,
H-CLEAN-3-5,U3,D3,V3,DEV3,SG,qcommerce,23,0,2026-07-11T03:00:00+00:00,delivered,
H-CLEAN-3-6,U3,D3,V3,DEV3,SG,qcommerce,23,0,2026-07-13T03:00:00+00:00,delivered,
H-CLEAN-3-7,U3,D3,V3,DEV3,SG,qcommerce,23,0,2026-07-15T03:00:00+00:00,delivered,
H-CLEAN-3-8,U3,D3,V3,DEV3,SG,qcommerce,23,0,2026-07-17T03:00:00+00:00,delivered,
H-CLEAN-3-9,U3,D3,V3,DEV3,SG,qcommerce,23,0,2026-07-19T03:00:00+00:00,delivered,
H-CLEAN-3-10,U3,D3,V3,DEV3,SG,qcommerce,23,0,2026-07-21T03:00:00+00:00,delivered,
H-CLEAN-3-11,U3,D3,V3,DEV3,SG,qcommerce,23,0,2026-07-23T03:00:00+00:00,delivered,
H-CLEAN-4-0,U4,D4,V0,DEV4,SG,food,24,0,2026-07-01T04:00:00+00:00,delivered,
H-CLEAN-4-1,U4,D4,V0,DEV4,SG,food,24,0,2026-07-03T04:00:00+00:00,delivered,
H-CLEAN-4-2,U4,D4,V0,DEV4,SG,food,24,0,2026-07-05T04:00:00+00:00,delivered,
H-CLEAN-4-3,U4,D4,V0,DEV4,SG,food,24,0,2026-07-07T04:00:00+00:00,delivered,
H-CLEAN-4-4,U4,D4,V0,DEV4,SG,food,24,0,2026-07-09T04:00:00+00:00,delivered,
H-CLEAN-4-5,U4,D4,V0,DEV4,SG,food,24,0,2026-07-11T04:00:00+00:00,delivered,
H-CLEAN-4-6,U4,D4,V0,DEV4,SG,food,24,0,2026-07-13T04:00:00+00:00,delivered,
H-CLEAN-4-7,U4,D4,V0,DEV4,SG,food,24,0,2026-07-15T04:00:00+00:00,delivered,
H-CLEAN-4-8,U4,D4,V0,DEV4,SG,food,24,0,2026-07-17T04:00:00+00:00,delivered,
H-CLEAN-4-9,U4,D4,V0,DEV4,SG,food,24,0,2026-07-19T04:00:00+00:00,delivered,
H-CLEAN-4-10,U4,D4,V0,DEV4,SG,food,24,0,2026-07-21T04:00:00+00:00,delivered,
H-CLEAN-4-11,U4,D4,V0,DEV4,SG,food,24,0,2026-07-23T04:00:00+00:00,delivered,
H-CLEAN-5-0,U5,D0,V1,DEV5,SG,qcommerce,25,0,2026-07-01T05:00:00+00:00,delivered,
H-CLEAN-5-1,U5,D0,V1,DEV5,SG,qcommerce,25,0,2026-07-03T05:00:00+00:00,delivered,
H-CLEAN-5-2,U5,D0,V1,DEV5,SG,qcommerce,25,0,2026-07-05T05:00:00+00:00,delivered,
H-CLEAN-5-3,U5,D0,V1,DEV5,SG,qcommerce,25,0,2026-07-07T05:00:00+00:00,delivered,
H-CLEAN-5-4,U5,D0,V1,DEV5,SG,qcommerce,25,0,2026-07-09T05:00:00+00:00,delivered,
H-CLEAN-5-5,U5,D0,V1,DEV5,SG,qcommerce,25,0,2026-07-11T05:00:00+00:00,delivered,
H-CLEAN-5-6,U5,D0,V1,DEV5,SG,qcommerce,25,0,2026-07-13T05:00:00+00:00,delivered,
H-CLEAN-5-7,U5,D0,V1,DEV5,SG,qcommerce,25,0,2026-07-15T05:00:00+00:00,delivered,
H-CLEAN-5-8,U5,D0,V1,DEV5,SG,qcommerce,25,0,2026-07-17T05:00:00+00:00,delivered,
H-CLEAN-5-9,U5,D0,V1,DEV5,SG,qcommerce,25,0,2026-07-19T05:00:00+00:00,delivered,
H-CLEAN-5-10,U5,D0,V1,DEV5,SG,qcommerce,25,0,2026-07-21T05:00:00+00:00,delivered,
H-CLEAN-5-11,U5,D0,V1,DEV5,SG,qcommerce,25,0,2026-07-23T05:00:00+00:00,delivered,
H-CLEAN-6-0,U6,D1,V2,DEV6,SG,food,26,0,2026-07-01T06:00:00+00:00,delivered,
H-CLEAN-6-1,U6,D1,V2,DEV6,SG,food,26,0,2026-07-03T06:00:00+00:00,delivered,
H-CLEAN-6-2,U6,D1,V2,DEV6,SG,food,26,0,2026-07-05T06:00:00+00:00,delivered,
H-CLEAN-6-3,U6,D1,V2,DEV6,SG,food,26,0,2026-07-07T06:00:00+00:00,delivered,
H-CLEAN-6-4,U6,D1,V2,DEV6,SG,food,26,0,2026-07-09T06:00:00+00:00,delivered,
H-CLEAN-6-5,U6,D1,V2,DEV6,SG,food,26,0,2026-07-11T06:00:00+00:00,delivered,
H-CLEAN-6-6,U6,D1,V2,DEV6,SG,food,26,0,2026-07-13T06:00:00+00:00,delivered,
H-CLEAN-6-7,U6,D1,V2,DEV6,SG,food,26,0,2026-07-15T06:00:00+00:00,delivered,
H-CLEAN-6-8,U6,D1,V2,DEV6,SG,food,26,0,2026-07-17T06:00:00+00:00,delivered,
H-CLEAN-6-9,U6,D1,V2,DEV6,SG,food,26,0,2026-07-19T06:00:00+00:00,delivered,
H-CLEAN-6-10,U6,D1,V2,DEV6,SG,food,26,0,2026-07-21T06:00:00+00:00,delivered,
H-CLEAN-6-11,U6,D1,V2,DEV6,SG,food,26,0,2026-07-23T06:00:00+00:00,delivered,
H-CLEAN-7-0,U7,D2,V3,DEV7,SG,qcommerce,27,0,2026-07-01T07:00:00+00:00,delivered,
H-CLEAN-7-1,U7,D2,V3,DEV7,SG,qcommerce,27,0,2026-07-03T07:00:00+00:00,delivered,
