user_id,device_id,cluster_id,last_seen_ts
U0,DEV0,C0,2026-07-15T00:00:00Z
U1,DEV1,C1,2026-07-15T00:00:00Z
U2,DEV2,C2,2026-07-15T00:00:00Z
U3,DEV3,C3,2026-07-15T00:00:00Z
U4,DEV4,C4,2026-07-15T00:00:00Z
U5,DEV5,C5,2026-07-15T00:00:00Z
U6,DEV6,C6,2026-07-15T00:00:00Z
U7,DEV7,C7,2026-07-15T00:00:00Z
U8,DEV8,C8,2026-07-15T00:00:00Z
U9,DEV9,C9,2026-07-15T00:00:00Z
U10,DEV10,C0,2026-07-15T00:00:00Z
U11,DEV11,C1,2026-07-15T00:00:00Z
U12,DEV12,C2,2026-07-15T00:00:00Z
U13,DEV13,C3,2026-07-15T00:00:00Z
U14,DEV14,C4,2026-07-15T00:00:00Z
U15,DEV15,C5,2026-07-15T00:00:00Z
U16,DEV16,C6,2026-07-15T00:00:00Z
U17,DEV17,C7,2026-07-15T00:00:00Z
U18,DEV18,C8,2026-07-15T00:00:00Z
U19,DEV19,C9,2026-07-15T00:00:00Z
U20,DEV20,C0,2026-07-15T00:00:00Z
U21,DEV21,C1,2026-07-15T00:00:00Z
U22,DEV22,C2,2026-07-15T00:00:00Z
U23,DEV23,C3,2026-07-15T00:00:00Z
U24,DEV24,C4,2026-07-15T00:00:00Z
U25,DEV25,C5,2026-07-15T00:00:00Z
U26,DEV26,C6,2026-07-15T00:00:00Z
U27,DEV27,C7,2026-07-15T00:00:00Z
U28,DEV28,C8,2026-07-15T00:00:00Z
U29,DEV29,C9,2026-07-15T00:00:00Z
U30,DEV30,C0,2026-07-15T00:00:00Z
U31,DEV31,C1,2026-07-15T00:00:00Z
U32,DEV32,C2,2026-07-15T00:00:00Z
U33,DEV33,C3,2026-07-15T00:00:00Z
U34,DEV34,C4,2026-07-15T00:00:00Z
U35,DEV35,C5,2026-07-15T00:00:00Z
U36,DEV36,C6,2026-07-15T00:00:00Z
U37,DEV37,C7,2026-07-15T00:00:00Z
U38,DEV38,C8,2026-07-15T00:00:00Z
U39,DEV39,C9,2026-07-15T00:00:00Z
