order_id,user_id,driver_id,vendor_id,device_id,event_ts,amount,status,market,vertical,is_refund,claim_reason,fraud_label,abuse_label,fraud_label_source,strong_fraud_label
PS-0000,U0,D0,V0,DEV0,2026-06-01T00:00:00Z,10.0,delivered,SG,food,1,missing_item,1,1,proven,1
PS-0001,U1,D1,V1,DEV1,2026-06-02T01:00:00Z,11.0,delivered,ID,qcommerce,1,missing_item,1,1,proven,1
PS-0002,U2,D2,V2,DEV2,2026-06-03T02:00:00Z,12.0,delivered,MY,food,1,missing_item,1,1,proven,1
PS-0003,U3,D3,V3,DEV3,2026-06-04T03:00:00Z,13.0,delivered,SG,qcommerce,1,missing_item,1,1,proven,1
PS-0004,U4,D4,V4,DEV4,2026-06-05T04:00:00Z,14.0,delivered,ID,food,1,missing_item,1,1,proven,1
PS-0005,U5,D5,V5,DEV5,2026-06-06T05:00:00Z,15.0,delivered,MY,qcommerce,1,missing_item,1,1,proven,1
PS-0006,U6,D6,V6,DEV6,2026-06-07T06:00:00Z,16.0,delivered,SG,food,1,missing_item,1,1,proven,1
PS-0007,U7,D7,V7,DEV7,2026-06-08T07:00:00Z,17.0,delivered,ID,qcommerce,1,missing_item,1,1,proven,1
PS-0008,U8,D8,V8,DEV8,2026-06-09T08:00:00Z,18.0,delivered,MY,food,1,missing_item,1,1,proven,1
PS-0009,U9,D9,V9,DEV9,2026-06-10T09:00:00Z,19.0,delivered,SG,qcommerce,1,missing_item,1,1,proven,1
PS-0010,U10,D10,V10,DEV10,2026-06-11T10:00:00Z,20.0,delivered,ID,food,1,missing_item,1,1,proven,1
PS-0011,U11,D11,V11,DEV11,2026-06-12T11:00:00Z,21.0,delivered,MY,qcommerce,1,missing_item,1,1,proven,1
PS-0012,U12,D12,V12,DEV12,2026-06-13T12:00:00Z,22.0,delivered,SG,food,1,missing_item,1,1,proven,1
PS-0013,U13,D13,V13,DEV13,2026-06-14T13:00:00Z,23.0,delivered,ID,qcommerce,1,missing_item,1,1,proven,1
PS-0014,U14,D14,V14,DEV14,2026-06-15T14:00:00Z,24.0,delivered,MY,food,1,missing_item,1,1,proven,1
PS-0015,U15,D15,V15,DEV15,2026-06-16T15:00:00Z,25.0,delivered,SG,qcommerce,1,,0,0,,0
PS-0016,U16,D16,V16,DEV16,2026-06-17T16:00:00Z,26.0,delivered,ID,food,0,,0,0,,0
PS-0017,U17,D17,V17,DEV17,2026-06-18T17:00:00Z,27.0,delivered,MY,qcommerce,0,,0,0,,0
PS-0018,U18,D18,V18,DEV18,2026-06-19T18:00:00Z,28.0,delivered,SG,food,0,,0,0,,0
PS-0019,U19,D19,V19,DEV19,2026-06-20T19:00:00Z,29.0,delivered,ID,qcommerce,0,,0,0,,0
PS-0020,U20,D20,V0,DEV20,2026-06-21T00:00:00Z,30.0,delivered,MY,food,1,,0,0,,0
PS-0021,U21,D21,V1,DEV21,2026-06-22T01:00:00Z,31.0,delivered,SG,qcommerce,0,,0,1,,0
PS-0022,U22,D22,V2,DEV22,2026-06-23T02:00:00Z,32.0,delivered,ID,food,0,,0,0,,0
PS-0023,U23,D23,V3,DEV23,2026-06-24T03:00:00Z,33.0,delivered,MY,qcommerce,0,,0,0,,0
PS-0024,U24,D24,V4,DEV24,2026-06-25T04:00:00Z,34.0,delivered,SG,food,0,,0,0,,0
PS-0025,U25,D0,V5,DEV25,2026-06-26T05:00:00Z,35.0,delivered,ID,qcommerce,1,,0,0,,0
PS-0026,U26,D1,V6,DEV26,2026-06-27T06:00:00Z,36.0,delivered,MY,food,0,,0,0,,0
PS-0027,U27,D2,V7,DEV27,2026-06-28T07:00:00Z,37.0,delivered,SG,qcommerce,0,,0,0,,0
PS-0028,U28,D3,V8,DEV28,2026-06-29T08:00:00Z,38.0,delivered,ID,food,0,,0,1,,0
PS-0029,U29,D4,V9,DEV29,2026-06-30T09:00:00Z,39.0,delivered,MY,qcommerce,0,,0,0,,0
PS-0030,U30,D5,V10,DEV0,2026-07-01T10:00:00Z,40.0,delivered,SG,food,1,,0,0,,0
PS-0031,U31,D6,V11,DEV1,2026-07-02T11:00:00Z,41.0,delivered,ID,qcommerce,0,,0,0,,0
PS-0032,U32,D7,V12,DEV2,2026-07-03T12:00:00Z,42.0,delivered,MY,food,0,,0,0,,0
PS-0033,U33,D8,V13,DEV3,2026-07-04T13:00:00Z,43.0,delivered,SG,qcommerce,0,,0,0,,0
PS-0034,U34,D9,V14,DEV4,2026-07-05T14:00:00Z,44.0,delivered,ID,food,0,,0,0,,0
PS-0035,U35,D10,V15,DEV5,2026-07-06T15:00:00Z,45.0,delivered,MY,qcommerce,1,,0,1,,0
PS-0036,U36,D11,V16,DEV6,2026-07-07T16:00:00Z,46.0,delivered,SG,food,0,,0,0,,0
PS-0037,U37,D12,V17,DEV7,2026-07-08T17:00:00Z,47.0,delivered,ID,qcommerce,0,,0,0,,0
PS-0038,U38,D13,V18,DEV8,2026-07-09T18:00:00Z,48.0,delivered,MY,food,0,,0,0,,0
PS-0039,U39,D14,V19,DEV9,2026-07-10T19:00:00Z,49.0,delivered,SG,qcommerce,0,,0,0,,0
PS-0040,U0,D15,V0,DEV10,2026-06-01T00:00:00Z,10.0,delivered,ID,food,1,,0,0,,0
PS-0041,U1,D16,V1,DEV11,2026-06-02T01:00:00Z,11.0,delivered,MY,qcommerce,0,,0,0,,0
PS-0042,U2,D17,V2,DEV12,2026-06-03T02:00:00Z,12.0,delivered,SG,food,0,,0,1,,0
PS-0043,U3,D18,V3,DEV13,2026-06-04T03:00:00Z,13.0,delivered,ID,qcommerce,0,,0,0,,0
PS-0044,U4,D19,V4,DEV14,2026-06-05T04:00:00Z,14.0,delivered,MY,food,0,,0,0,,0
PS-0045,U5,D20,V5,DEV15,2026-06-06T05:00:00Z,15.0,delivered,SG,qcommerce,1,,0,0,,0
PS-0046,U6,D21,V6,DEV16,2026-06-07T06:00:00Z,16.0,delivered,ID,food,0,,0,0,,0
PS-0047,U7,D22,V7,DEV17,2026-06-08T07:00:00Z,17.0,delivered,MY,qcommerce,0,,0,0,,0
PS-0048,U8,D23,V8,DEV18,2026-06-09T08:00:00Z,18.0,delivered,SG,food,0,,0,0,,0
PS-0049,U9,D24,V9,DEV19,2026-06-10T09:00:00Z,19.0,delivered,ID,qcommerce,0,,0,1,,0
PS-0050,U10,D0,V10,DEV20,2026-06-11T10:00:00Z,20.0,delivered,MY,food,1,,0,0,,0
PS-0051,U11,D1,V11,DEV21,2026-06-12T11:00:00Z,21.0,delivered,SG,qcommerce,0,,0,0,,0
PS-0052,U12,D2,V12,DEV22,2026-06-13T12:00:00Z,22.0,delivered,ID,food,0,,0,0,,0
PS-0053,U13,D3,V13,DEV23,2026-06-14T13:00:00Z,23.0,delivered,MY,qcommerce,0,,0,0,,0
PS-0054,U14,D4,V14,DEV24,2026-06-15T14:00:00Z,24.0,delivered,SG,food,0,,0,0,,0
PS-0055,U15,D5,V15,DEV25,2026-06-16T15:00:00Z,25.0,delivered,ID,qcommerce,1,,0,0,,0
PS-0056,U16,D6,V16,DEV26,2026-06-17T16:00:00Z,26.0,delivered,MY,food,0,,0,1,,0
PS-0057,U17,D7,V17,DEV27,2026-06-18T17:00:00Z,27.0,delivered,SG,qcommerce,0,,0,0,,0
PS-0058,U18,D8,V18,DEV28,2026-06-19T18:00:00Z,28.0,delivered,ID,food,0,,0,0,,0
PS-0059,U19,D9,V19,DEV29,2026-06-20T19:00:00Z,29.0,delivered,MY,qcommerce,0,,0,0,,0
PS-0060,U20,D10,V0,DEV0,2026-06-21T00:00:00Z,30.0,delivered,SG,food,1,,0,0,,0
PS-0061,U21,D11,V1,DEV1,2026-06-22T01:00:00Z,31.0,delivered,ID,qcommerce,0,,0,0,,0
PS-0062,U22,D12,V2,DEV2,2026-06-23T02:00:00Z,32.0,delivered,MY,food,0,,0,0,,0
PS-0063,U23,D13,V3,DEV3,2026-06-24T03:00:00Z,33.0,delivered,SG,qcommerce,0,,0,1,,0
PS-0064,U24,D14,V4,DEV4,2026-06-25T04:00:00Z,34.0,delivered,ID,food,0,,0,0,,0
PS-0065,U25,D15,V5,DEV5,2026-06-26T05:00:00Z,35.0,delivered,MY,qcommerce,1,,0,0,,0
