order_id,user_id,driver_id,vendor_id,device_id,market,vertical,amount,status,claim_reason,event_ts,abuse_label,abuse_label_weak,fraud_label,fraud_label_source,strong_fraud_label,weak_policy_negative
O-CLEAN-0,U0,D0,V0,DEV0,SG,food,25,delivered,,2026-07-26T00:00:00+00:00,0,0,0,,0,0
O-CLEAN-1,U1,D1,V1,DEV1,SG,qcommerce,26,delivered,,2026-07-26T01:00:00+00:00,0,0,0,,0,0
O-CLEAN-2,U2,D2,V2,DEV2,SG,food,27,delivered,,2026-07-26T02:00:00+00:00,0,0,0,,0,0
O-CLEAN-3,U3,D3,V3,DEV3,SG,qcommerce,28,delivered,,2026-07-26T03:00:00+00:00,0,0,0,,0,0
O-CLEAN-4,U4,D4,V0,DEV4,SG,food,29,delivered,,2026-07-26T04:00:00+00:00,0,0,0,,0,0
O-CLEAN-5,U5,D0,V1,DEV5,SG,qcommerce,30,delivered,,2026-07-26T05:00:00+00:00,0,0,0,,0,0
O-CLEAN-6,U6,D1,V2,DEV6,SG,food,31,delivered,,2026-07-26T06:00:00+00:00,0,0,0,,0,0
O-CLEAN-7,U7,D2,V3,DEV7,SG,qcommerce,32,delivered,,2026-07-26T07:00:00+00:00,0,0,0,,0,0
O-CLEAN-8,U8,D3,V0,DEV8,SG,food,33,delivered,,2026-07-26T08:00:00+00:00,0,0,0,,0,0
O-CLEAN-9,U9,D4,V1,DEV9,SG,qcommerce,34,delivered,,2026-07-26T09:00:00+00:00,0,0,0,,0,0
O-CLEAN-10,U10,D0,V2,DEV10,SG,food,35,delivered,,2026-07-26T10:00:00+00:00,0,0,0,,0,0
O-CLEAN-11,U11,D1,V3,DEV11,SG,qcommerce,36,delivered,,2026-07-26T11:00:00+00:00,0,0,0,,0,0
O-CLEAN-12,U12,D2,V0,DEV12,SG,food,37,delivered,,2026-07-26T12:00:00+00:00,0,0,0,,0,0
O-CLEAN-13,U13,D3,V1,DEV13,SG,qcommerce,38,delivered,,2026-07-26T13:00:00+00:00,0,0,0,,0,0
O-CLEAN-14,U14,D4,V2,DEV14,SG,food,39,delivered,,2026-07-26T14:00:00+00:00,0,0,0,,0,0
O-CLEAN-15,U15,D0,V3,DEV15,SG,qcommerce,40,delivered,,2026-07-26T15:00:00+00:00,0,0,0,,0,0
O-CLEAN-16,U16,D1,V0,DEV16,SG,food,41,delivered,,2026-07-26T16:00:00+00:00,0,0,0,,0,0
O-CLEAN-17,U17,D2,V1,DEV17,SG,qcommerce,42,delivered,,2026-07-26T17:00:00+00:00,0,0,0,,0,0
O-CLEAN-18,U18,D3,V2,DEV18,SG,food,43,delivered,,2026-07-26T18:00:00+00:00,0,0,0,,0,0
O-CLEAN-19,U19,D4,V3,DEV19,SG,qcommerce,44,delivered,,2026-07-26T19:00:00+00:00,0,0,0,,0,0
